Real	User	CPU%	System	Exit
557.15	718.82	130%	5.66	0
188.38	240.7	128%	2.17	0
627.75	792.17	127%	5.47	0
169.75	217.99	130%	3.43	0
125.91	157.29	126%	1.71	0
295.05	377.45	129%	4.22	0
126.88	162.43	129%	1.41	0
512.1	662.6	130%	4.79	0
172.52	217.31	127%	3.26	0
474.09	623.57	132%	4.92	0
126.33	159.22	127%	1.39	0
58.25	73.06	127%	0.93	0
313.21	390.18	125%	4.16	0
637.11	827.03	130%	6.18	0
113.6	141.39	126%	2.22	0
184.04	223.74	122%	2.25	0
60.02	74.87	126%	0.82	0
304.18	384.65	127%	4.16	0
175.36	220.56	127%	3.5	0
1949.17	4880.16	251%	13.46	0
368.28	452.6	123%	4.01	0
179.98	224.52	125%	2.17	0
177.14	224.85	129%	3.91	0
609.16	791.29	130%	5.6	0
55.9	72.17	131%	1.36	0
59.12	73.68	125%	0.76	0
121.09	146.7	122%	1.58	0
59.35	74.23	126%	1.04	0
854.59	1151.26	135%	7.71	0
964.35	1462.97	152%	7.44	0
184.18	230.23	126%	2.08	0
123.19	150.16	123%	1.92	0
521.69	664.92	128%	4.8	0
180.62	225.38	126%	3.63	0
127.73	160.43	126%	1.44	0
57.81	72.57	127%	0.88	0
59.3	73.82	126%	0.92	0
4140.66	13210.05	319%	12.77	0
60.35	75.48	126%	0.96	0
545.3	704.53	130%	5.56	0
427.76	525.89	124%	5.13	0
227.73	284.1	125%	2.75	0
304.2	398.9	132%	4.78	0
246.38	303.92	124%	2.4	0
57.87	73.78	130%	1.53	0
574.53	748.94	131%	5.66	0
114.7	141.58	125%	2.49	0
377.3	473.3	126%	4.49	0
671	932.25	139%	6.53	0
184.81	231.12	126%	3.34	0
241.43	310.08	129%	3.01	0
244.79	321.61	133%	3.97	0
185.24	236.87	129%	2.39	0
484.15	628.72	130%	5.3	0
438.18	535.1	123%	4.41	0
248.84	318.24	129%	3.76	0
654.3	829.67	127%	5.66	0
60.19	76.71	128%	0.88	0
57.54	72.39	127%	0.97	0
57.94	74.3	131%	1.65	0
124.69	152.13	123%	1.94	0
297.96	379.4	128%	4.19	0
399.07	498.66	126%	4.51	0
882.96	1210.93	138%	7.92	0
251.59	316.8	127%	3.63	0
728.23	968.1	133%	6.69	0
380.52	480.8	127%	4.16	0
173.65	222.6	130%	3.25	0
305.74	378.51	125%	4.41	0
441.26	580.76	132%	5.22	0
622.83	818.52	132%	5.77	0
184.76	236.79	129%	3.08	0
175.97	219.05	126%	3.59	0
579.84	766.62	133%	5.73	0
111.87	141.89	129%	2.92	0
186.64	236.07	127%	2.19	0
201.76	245.75	122%	2.27	0
251.93	315.82	126%	3.23	0
1182.85	2026.12	172%	8.66	0
382.77	486.05	128%	4.27	0
189.43	242.22	129%	2.69	0
565.33	736.99	131%	5	0
536.14	693.29	130%	4.7	0
57.73	72.28	126%	0.94	0
889.65	1165.29	131%	8.19	0
653.91	872.28	134%	6.32	0
442.92	554.47	126%	4.79	0
112.5	140.53	127%	2.75	0
58.24	72.83	126%	0.96	0
246.62	311.58	127%	3.86	0
499.76	671.28	135%	5.62	0
738.85	961.37	130%	6.41	0
605.82	806.11	133%	5.3	0
564.1	757.89	135%	5.55	0
116.51	145.14	126%	2.52	0
174.38	224.45	130%	3.2	0
5822.02	20093.43	345%	16.51	0
