Real;User;CPU%;System;Exit
622.78;1221.66;197%;8.62;42
579.11;1034.68;179%;7.32;42
596.40;1136.99;191%;6.74;42
669.76;1451.80;217%;7.38;42
666.55;1386.47;209%;7.73;42
633.85;1299.46;206%;8.33;42
518.19;815.20;158%;7.69;42
523.44;832.80;160%;7.61;42
713.04;1543.38;217%;7.65;42
646.97;1322.32;205%;7.34;42
707.36;1569.97;223%;8.28;42
681.13;1450.12;214%;7.66;42
673.41;1449.07;216%;7.60;42
615.00;1170.28;191%;6.98;42
676.22;1395.38;207%;8.22;42
647.25;1318.67;204%;8.03;42
611.59;1185.80;195%;7.05;42
675.77;1414.00;210%;7.11;42
587.48;1086.97;186%;6.90;42
609.62;1198.27;197%;6.46;42
571.03;1017.16;179%;7.17;42
569.63;1047.84;185%;6.72;42
626.76;1240.96;199%;6.59;42
665.81;1401.37;211%;7.35;42
697.30;1538.34;221%;6.69;42
690.23;1493.72;217%;7.44;42
675.21;1416.29;210%;7.63;42
625.75;1230.32;197%;6.96;42
588.91;1092.42;186%;7.75;42
635.80;1245.35;196%;6.85;42
730.47;1591.66;218%;7.52;42
660.31;1374.27;209%;6.84;42
588.98;1156.24;197%;6.63;42
699.57;1499.60;215%;7.12;42
734.36;1626.43;222%;7.38;42
660.71;1348.90;205%;6.54;42
648.44;1317.98;204%;8.12;42
631.60;1179.96;187%;7.29;42
593.52;1139.75;193%;7.46;42
680.93;1394.10;205%;8.10;42
659.87;1369.59;208%;7.58;42
588.53;1145.52;195%;7.15;42
660.88;1359.60;206%;7.36;42
725.30;1632.88;226%;7.25;42
698.17;1358.17;195%;7.28;42
581.11;1064.08;184%;7.54;42
669.16;1414.81;212%;7.18;42
627.88;1247.49;199%;6.96;42
590.19;1111.01;189%;7.95;42
702.89;1535.58;219%;7.44;42
615.03;1166.62;190%;7.54;42
694.15;1480.77;214%;7.56;42
661.52;1333.76;202%;7.69;42
744.14;1656.80;223%;8.10;42
528.76;870.47;166%;7.29;42
668.53;1356.34;203%;7.35;42
628.04;1288.60;206%;7.16;42
589.10;1100.91;188%;6.91;42
651.50;1336.04;206%;7.70;42
627.24;1249.12;200%;6.97;42
594.74;1133.56;191%;7.00;42
676.43;1387.81;206%;7.53;42
577.98;1055.45;183%;7.09;42
589.06;1113.31;189%;5.84;42
652.43;1377.49;212%;7.29;42
588.43;1127.70;192%;6.84;42
656.69;1325.30;202%;7.43;42
612.37;1202.38;197%;7.14;42
656.82;1350.94;206%;7.02;42
675.38;1364.27;203%;7.10;42
721.31;1590.91;221%;7.26;42
677.10;1445.24;214%;7.58;42
666.68;1410.28;212%;6.65;42
684.92;1307.98;192%;7.14;42
675.18;1364.74;203%;7.36;42
656.60;1351.49;206%;6.77;42
671.08;1372.24;205%;6.24;42
661.47;1280.87;194%;6.86;42
682.09;1448.86;213%;7.47;42
610.52;1173.53;193%;6.67;42
600.75;1172.70;196%;6.36;42
590.81;1150.50;195%;7.18;42
674.52;1396.06;208%;7.53;42
641.05;1305.22;204%;8.35;42
665.50;1354.33;204%;5.99;42
632.92;1292.20;205%;6.47;42
595.51;1134.19;191%;6.80;42
617.32;1201.93;195%;7.55;42
595.18;1141.66;192%;6.17;42
607.14;1131.54;187%;7.42;42
650.03;1335.60;206%;6.57;42
584.24;1081.93;186%;6.93;42
571.96;1060.34;186%;6.48;42
637.70;1293.75;204%;7.70;42
691.12;1474.19;214%;7.16;42
676.75;1442.76;214%;7.40;42
597.50;1124.08;189%;7.74;42
637.57;1305.17;205%;7.53;42
598.48;1106.58;186%;7.29;42
528.06;853.85;162%;6.40;42
