Real;User;CPU%;System;Exit
3.30;6.45;204%;0.30;0
3.34;6.69;208%;0.29;0
3.36;6.76;211%;0.33;0
3.32;6.55;206%;0.31;0
3.34;6.84;213%;0.29;0
3.35;6.64;207%;0.30;0
3.30;6.46;204%;0.29;0
3.31;6.59;210%;0.35;0
3.33;6.73;210%;0.30;0
3.34;6.60;205%;0.26;0
3.38;6.78;212%;0.38;0
3.41;6.95;213%;0.32;0
3.31;6.60;209%;0.32;0
3.32;6.66;209%;0.28;0
3.31;6.59;209%;0.34;0
3.32;6.70;213%;0.37;0
3.35;6.90;213%;0.26;0
3.32;6.82;214%;0.29;0
3.32;6.70;209%;0.26;0
3.41;7.04;214%;0.29;0
3.32;6.65;209%;0.31;0
3.33;6.76;213%;0.34;0
3.35;6.84;212%;0.27;0
3.33;6.94;216%;0.28;0
3.32;6.80;212%;0.24;0
3.31;6.79;211%;0.20;0
3.35;7.06;218%;0.27;0
3.41;7.07;215%;0.28;0
3.29;6.66;211%;0.29;0
3.35;6.72;209%;0.31;0
3.32;6.60;205%;0.24;0
3.35;6.77;212%;0.32;0
3.34;6.72;211%;0.35;0
3.30;6.76;214%;0.33;0
3.33;6.63;207%;0.29;0
3.34;6.82;214%;0.33;0
3.34;6.74;209%;0.26;0
3.37;6.90;212%;0.27;0
3.32;6.81;214%;0.32;0
3.35;6.81;210%;0.25;0
3.35;6.87;214%;0.32;0
3.31;6.59;208%;0.31;0
3.32;6.83;214%;0.29;0
3.33;6.79;213%;0.32;0
3.32;6.53;206%;0.35;0
3.33;6.62;208%;0.34;0
3.35;6.88;215%;0.32;0
3.29;6.48;207%;0.35;0
3.50;7.00;209%;0.33;0
3.31;6.51;207%;0.37;0
3.35;6.72;209%;0.29;0
3.34;6.82;213%;0.31;0
3.35;7.03;218%;0.29;0
3.32;6.80;212%;0.27;0
3.35;6.95;216%;0.30;0
3.39;6.70;207%;0.33;0
3.35;6.63;207%;0.32;0
3.33;6.65;209%;0.31;0
3.36;6.78;211%;0.30;0
3.29;6.66;210%;0.28;0
3.41;6.95;213%;0.32;0
3.30;6.51;207%;0.34;0
3.39;6.76;209%;0.35;0
3.38;6.85;212%;0.33;0
3.37;6.76;209%;0.29;0
3.33;6.74;209%;0.25;0
3.35;6.73;209%;0.28;0
3.39;6.87;212%;0.32;0
3.34;6.69;211%;0.36;0
3.28;6.58;208%;0.26;0
3.32;6.64;207%;0.25;0
3.34;6.68;211%;0.37;0
3.30;6.59;209%;0.34;0
3.33;6.67;209%;0.30;0
3.35;6.87;212%;0.26;0
3.32;6.61;206%;0.25;0
3.32;6.84;214%;0.29;0
3.31;6.91;218%;0.32;0
3.29;6.63;209%;0.27;0
3.33;6.81;214%;0.32;0
3.32;6.62;209%;0.33;0
3.29;6.47;207%;0.33;0
3.36;6.71;208%;0.28;0
3.30;6.68;212%;0.32;0
3.32;6.87;215%;0.28;0
3.31;6.72;212%;0.31;0
3.33;6.62;208%;0.32;0
3.34;6.73;211%;0.34;0
3.32;6.67;211%;0.36;0
3.34;6.91;215%;0.28;0
3.38;6.83;211%;0.32;0
3.38;6.95;213%;0.29;0
3.30;6.55;208%;0.33;0
3.35;6.91;213%;0.27;0
3.33;6.69;208%;0.27;0
3.35;6.89;213%;0.26;0
3.34;6.64;207%;0.29;0
3.35;6.54;205%;0.34;0
3.32;6.77;213%;0.33;0
3.36;6.89;214%;0.32;0
